bias_len,bias_mult,entry_type,entry_len,entry_mult,n,hit,pnl,total
100,3,ema,14,4,2860,70.13986013986015,0.32261902325476416,922.6904065086255
100,3,ema,21,2,5640,67.80141843971631,0.16745160057550132,944.4270272458274
100,3,ema,21,3,3451,68.7337003767024,0.23106382816248283,797.4012709887282
100,3,ema,21,4,2097,69.67095851216023,0.13120445062945105,275.13573296995884
100,3,ema,34,2,3799,68.49170834430113,0.23542556755772778,894.3817311518078
100,3,ema,34,3,2222,70.47704770477048,0.3017337329425383,670.4523545983201
100,3,ema,34,4,1269,71.39479905437352,0.10723003466502791,136.07491398992042
100,3,ema,55,2,2206,69.90027198549411,0.2971034266109406,655.4101591037349
100,3,ema,55,3,1145,72.31441048034935,0.015255573657146337,17.467631837432556
100,3,ema,55,4,541,72.82809611829944,-0.10306966768346328,-55.76069021675363
100,3,vidya,14,2,2574,70.27972027972028,0.3264756018670831,840.3481992058719
100,3,vidya,14,3,1374,71.10625909752547,0.3112043726230207,427.5948079840304
100,3,vidya,14,4,808,73.88613861386139,0.2833511935942388,228.94776442414496
100,3,vidya,21,2,994,70.52313883299799,0.04399229887147917,43.7283450782503
100,3,vidya,21,3,1191,69.43744752308984,-0.032780295536925526,-39.041331984478305
100,3,vidya,21,4,2298,71.5839860748477,0.3483475676222805,800.5027103960006
100,3,vidya,34,2,2603,70.95658855167115,0.2849560155480631,741.7405084716082
100,3,vidya,34,3,3143,72.28762328985047,0.27018499493582454,849.1914390832965
100,3,vidya,34,4,2895,72.05526770293609,0.28452125602950357,823.6890362054129
100,3,vidya,55,2,2550,71.45098039215686,0.29683848432050614,756.9381350172906
100,3,vidya,55,3,2142,71.1484593837535,0.3140199196406845,672.6306678703462
100,3,vidya,55,4,1844,70.7700650759219,0.19838070813343991,365.8140257980632
