t,S,pnl_pct,hold,flips,bias_len,bias_left,atr_pct,win
1708561800000,1,-7.834720397138273,130,1,2628,130,0.9108373829253568,False
1709424000000,1,-8.242150333016173,197,1,681,197,0.7588581167637466,False
1710133200000,1,-7.347573914273586,338,1,709,338,1.1297378642519338,False
1711067400000,-1,-3.827497078922204,276,1,976,276,0.8265512800724486,False
1711719000000,1,-5.120115679121884,292,1,740,292,0.8207662580286625,False
1712176200000,-1,-8.103019805708245,444,5,660,444,0.7431971029098399,False
1712271600000,-1,-3.3886708199791116,338,3,660,338,0.6872069132792878,False
1712541600000,-1,-7.375271149674623,38,1,660,38,0.45764617257442136,False
1712845800000,-1,17.09028535786684,869,3,1045,869,0.8992897444761135,True
1713201300000,-1,-3.8882375928096735,474,1,1045,474,1.6902169163122789,False
1714350600000,-1,-1.522794327591126,351,3,705,351,0.5830106659768627,False
1714475700000,-1,-7.7746905784289,212,1,705,212,0.8696342318568507,False
1714930200000,1,-8.824946349581753,261,3,554,261,0.7024520796058925,False
1715088600000,1,-6.081385906343062,85,1,554,85,0.7669916544927862,False
1715433300000,1,-6.662545807761933,148,1,279,148,0.9499264814739389,False
1715667300000,-1,-13.771420342725493,135,1,247,135,0.9570742521008204,False
1716466500000,1,-7.358374384236443,283,3,537,283,0.8569196605277756,False
1716586200000,1,-3.2125768967874224,150,1,537,150,0.7478152608645795,False
1716858900000,-1,1.8814235963645731,767,3,920,767,0.6017070860567545,True
1717320600000,-1,-6.054902680866681,254,1,920,254,0.5333972309147813,False
1718056800000,-1,19.874455806418958,1929,15,2234,1929,0.59712158829853,True
1718250300000,-1,15.117713305089298,1714,13,2234,1714,0.7510592338862835,True
1718508600000,-1,7.433183227089302,1427,11,2234,1427,0.438941773887709,True
1718676900000,-1,-4.296257248286772,1240,9,2234,1240,2.7695902508270445,False
1718993700000,-1,-3.1476050830889557,888,7,2234,888,0.9368205502595697,False
1719156600000,-1,-4.717168375785641,707,5,2234,707,0.5333617192708551,False
1719405000000,-1,-3.6745922578109713,431,3,2234,431,0.5280347083205617,False
1719596700000,-1,-4.578790882061434,218,1,2234,218,0.7686558868512833,False
1720329300000,-1,-4.363097096472068,580,5,877,580,0.8318972979044384,False
1720650600000,-1,-7.156595608270555,223,3,877,223,0.7391067634539046,False
1720741500000,-1,-9.124296090753269,122,1,877,122,0.6109363891222156,False
