iter,ret,mdd
979,268.85,4.19
980,268.89,5.72
981,268.9,3.65
982,268.92,3.97
983,268.94,6.63
984,268.96,5.92
985,268.97,4.53
986,269.02,3.18
987,269.03,3.35
988,269.06,3.1
989,269.18,6.06
990,269.32,4.83
991,269.33,3.52
992,269.34,3.87
993,269.34,4.21
994,269.4,5.68
995,269.42,5.44
996,269.44,4.21
997,269.48,4.16
998,269.51,5.28
999,269.51,4.82
1000,269.54,4.31
1001,269.62,4.39
1002,269.63,3.83
1003,269.74,4.21
1004,269.79,3.78
1005,269.81,4.46
1006,269.81,5.65
1007,269.82,6.46
1008,269.83,5.53
1009,269.85,4.36
1010,269.86,4.55
1011,269.89,5.16
1012,269.9,3.78
1013,269.93,4.98
1014,269.96,3.86
1015,269.97,4.58
1016,269.99,4.42
1017,270.01,3.33
1018,270.34,4.62
1019,270.53,4.21
1020,270.54,5.49
1021,270.58,4.22
1022,270.58,4.21
1023,270.65,3.66
1024,270.73,4.87
1025,270.75,6.46
1026,270.76,3.87
1027,270.8,6.45
1028,270.81,4.8
1029,270.85,4.04
1030,270.88,3.49
1031,270.96,4.91
1032,270.99,6.3
1033,271.01,5.12
1034,271.08,4.21
1035,271.11,6.37
1036,271.14,5.23
1037,271.14,4.31
1038,271.18,3.65
1039,271.21,7.9
1040,271.24,4.41
1041,271.25,5.26
1042,271.26,3.21
1043,271.26,7.7
1044,271.29,4.81
1045,271.3,4.68
1046,271.32,4.72
1047,271.34,6.31
1048,271.35,4.81
1049,271.44,5.69
1050,271.49,4.12
1051,271.54,5.88
1052,271.66,4.87
1053,271.68,5.16
1054,271.7,2.98
1055,271.71,4.94
1056,271.72,4.5
1057,271.73,4.08
1058,271.76,4.7
1059,271.77,3.39
1060,271.78,6.08
1061,271.8,6.2
1062,271.83,3.93
1063,271.93,4.92
1064,271.95,5.95
1065,271.97,4.7
1066,272.11,6.16
1067,272.11,5.11
1068,272.17,8.17
1069,272.2,5.54
1070,272.27,4.32
1071,272.3,4.21
1072,272.35,3.81
1073,272.35,4.23
1074,272.37,5.79
1075,272.37,4.14
1076,272.42,4.36
1077,272.45,4.73
1078,272.46,5.34
1079,272.49,4.11
1080,272.52,4.46
1081,272.53,4.75
1082,272.54,6.25
1083,272.54,4.29
1084,272.55,4.61
1085,272.55,3.81
1086,272.56,4.57
1087,272.56,6.48
1088,272.58,3.56
1089,272.59,5.16
1090,272.62,4.26
1091,272.63,3.65
1092,272.65,4.67
1093,272.66,5.64
1094,272.72,3.18
1095,272.72,5.12
1096,272.76,4.75
1097,272.8,3.39
1098,272.84,5.24
1099,272.86,4.1
1100,273,4.74
1101,273.01,5.6
1102,273.05,4.92
1103,273.09,4.89
1104,273.11,4.96
1105,273.14,4.21
1106,273.15,5.83
1107,273.15,5.18
1108,273.17,5.27
1109,273.21,4.11
1110,273.21,4.67
1111,273.24,6.33
1112,273.24,4.42
1113,273.25,3.18
1114,273.3,5.89
1115,273.3,5.23
1116,273.3,3.89
1117,273.31,5.53
1118,273.37,4.99
1119,273.39,3.91
1120,273.39,4.98
1121,273.43,5.35
1122,273.46,3.29
1123,273.55,5.3
1124,273.6,4.39
1125,273.61,4.32
1126,273.62,5.24
1127,273.63,4.65
1128,273.63,5.44
1129,273.83,6.66
1130,273.85,3.87
1131,273.87,6.11
1132,273.87,3.41
1133,273.93,5.72
1134,273.94,4.85
1135,273.96,5.1
1136,273.96,4.59
1137,273.98,5.61
1138,273.99,5.16
1139,274.02,4.35
1140,274.03,5.69
1141,274.04,4.79
1142,274.05,4.5
1143,274.06,2.83
1144,274.07,6.61
1145,274.08,4.68
1146,274.13,4.94
1147,274.16,3.65
1148,274.18,3.5
1149,274.19,7.73
1150,274.22,3.83
1151,274.27,4.92
1152,274.27,5.37
1153,274.29,4.43
1154,274.29,4.35
1155,274.29,4.53
1156,274.31,4.21
1157,274.4,4.5
1158,274.44,6.28
1159,274.44,5.36
1160,274.47,5.4
1161,274.47,5.69
1162,274.48,6.21
1163,274.54,5.78
1164,274.55,2.67
1165,274.57,4.28
1166,274.62,6.43
1167,274.66,4.17
1168,274.68,4.08
1169,274.73,4.68
1170,274.77,6.25
1171,274.82,4.21
1172,274.83,3.96
1173,274.84,6.25
1174,274.85,5.73
1175,274.85,5.34
1176,274.92,3.66
1177,274.94,5.79
1178,275.03,4.68
1179,275.04,4.47
1180,275.04,5.94
1181,275.05,3.91
1182,275.08,5.08
1183,275.09,4.89
1184,275.13,6.46
1185,275.13,3.77
1186,275.18,5.02
1187,275.19,3.21
1188,275.2,4.59
1189,275.23,5.24
1190,275.24,4.43
1191,275.26,4.65
1192,275.28,5.88
1193,275.29,4.12
1194,275.32,4.28
1195,275.34,4.21
1196,275.37,3.69
1197,275.38,3.4
1198,275.39,5.54
1199,275.4,4.67
1200,275.44,5.34
1201,275.49,3.5
1202,275.49,7.01
1203,275.53,5.19
1204,275.57,4.36
1205,275.57,4.83
1206,275.58,3.96
1207,275.58,5.06
1208,275.63,5.3
1209,275.64,5.65
1210,275.66,4.66
1211,275.67,4.47
1212,275.68,6.25
1213,275.69,5.68
1214,275.69,5.67
1215,275.69,6.65
1216,275.7,4.89
1217,275.83,5.52
1218,275.83,4.14
1219,275.83,6.16
1220,275.84,4.02
1221,275.85,4.16
1222,275.9,6.96
1223,275.9,3.36
1224,275.9,3.31
1225,275.91,6.42
1226,275.92,5.24
1227,275.95,4.32
1228,275.95,3.67
1229,275.97,4.14
1230,275.97,4.14
1231,275.99,5.42
1232,275.99,4.12
1233,276.01,3.96
1234,276.01,4.67
1235,276.02,5.45
1236,276.03,4.83
1237,276.08,6.31
1238,276.1,4.21
1239,276.13,3.83
1240,276.19,3.77
1241,276.19,5.98
1242,276.2,4.18
1243,276.26,5.63
1244,276.32,4.42
1245,276.34,3.86
1246,276.42,4.67
1247,276.44,3.57
1248,276.47,4.11
1249,276.49,3.2
1250,276.49,4.52
1251,276.54,5.07
1252,276.59,6.25
1253,276.61,4.49
1254,276.63,3.67
1255,276.65,5.13
1256,276.68,3.71
1257,276.76,3.55
1258,276.76,4.83
1259,276.79,4.71
1260,276.79,3.04
1261,276.8,4.89
1262,276.8,4.68
1263,276.84,5.67
1264,276.91,5.27
1265,276.91,5.58
1266,276.95,6.78
1267,276.98,9.37
1268,277.01,4.99
1269,277.08,3.76
1270,277.1,4.61
1271,277.11,3.87
1272,277.16,5.43
1273,277.16,5
1274,277.19,3.91
1275,277.25,4.21
1276,277.27,4.21
1277,277.31,3.96
1278,277.31,3.64
1279,277.33,4.21
1280,277.33,4.16
1281,277.36,3.66
1282,277.4,3.88
1283,277.44,4.12
1284,277.46,3.57
1285,277.46,6.05
1286,277.47,5.33
1287,277.47,5.88
1288,277.49,3.77
1289,277.5,5.06
1290,277.5,4.45
1291,277.55,6.37
1292,277.56,4.5
1293,277.57,3.65
1294,277.59,5.78
1295,277.6,5.98
1296,277.6,4.54
1297,277.61,3.56
1298,277.62,4.7
1299,277.63,3.5
1300,277.66,5.04
1301,277.78,4.62
1302,277.82,5.67
1303,277.85,3.18
1304,277.87,5.77
1305,277.89,3.18
1306,277.89,4.7
1307,277.91,6.07
1308,277.92,4.7
1309,277.93,5.72
1310,277.94,5.57
1311,278.01,5.32
1312,278.04,5.74
1313,278.05,5.51
1314,278.08,6
1315,278.09,3.34
1316,278.1,5.22
1317,278.12,5.11
1318,278.13,3.5
1319,278.13,6.28
1320,278.14,3.1
1321,278.17,4.15
1322,278.23,3.96
1323,278.25,3.65
1324,278.28,6.25
1325,278.32,5
1326,278.33,4.48
1327,278.33,4.61
1328,278.34,4.21
1329,278.4,4.75
1330,278.44,4.18
1331,278.52,5.89
1332,278.57,5.47
1333,278.59,4.7
1334,278.66,4.23
1335,278.67,3.31
1336,278.69,4.82
1337,278.69,5.52
1338,278.69,5.2
1339,278.69,4.42
1340,278.7,3.67
1341,278.73,4.61
1342,278.73,4.31
1343,278.77,3.83
1344,278.84,4.04
1345,278.84,7.65
1346,278.84,4.3
1347,278.85,3.91
1348,278.91,7.38
1349,278.92,4.57
1350,278.95,5.47
1351,278.95,3.56
1352,278.95,3.07
1353,278.95,5.24
1354,278.97,4.08
1355,279.02,5.18
1356,279.02,4.23
1357,279.06,5.52
1358,279.09,4.14
1359,279.12,4.65
1360,279.22,4.73
1361,279.22,3.97
