symbol,state,tEntry
XRPUSDT,1,2023-09-18T11:30
XRPUSDT,2,2023-12-25T09:15
XRPUSDT,1,2024-02-14T09:30
XRPUSDT,0,2024-02-29T06:15
XRPUSDT,0,2024-03-23T14:00
XRPUSDT,1,2024-04-19T01:45
XRPUSDT,0,2024-07-24T09:45
XRPUSDT,2,2024-07-30T10:15
XRPUSDT,1,2024-08-19T08:15
XRPUSDT,1,2024-08-27T21:45
XRPUSDT,1,2024-09-01T02:15
XRPUSDT,0,2024-09-21T16:45
XRPUSDT,0,2024-11-11T20:15
XRPUSDT,1,2024-12-13T14:45
XRPUSDT,0,2024-12-16T16:30
XRPUSDT,0,2025-01-07T15:30
XRPUSDT,1,2025-04-22T14:00
XRPUSDT,2,2025-08-24T19:00
XRPUSDT,2,2025-10-01T09:15
XRPUSDT,2,2025-10-09T02:15
XRPUSDT,2,2025-10-21T15:45
XRPUSDT,1,2025-11-12T16:15
XRPUSDT,0,2025-11-19T05:30
XRPUSDT,2,2025-11-20T16:30
XRPUSDT,2,2025-11-26T18:00
XRPUSDT,0,2025-12-09T16:00
XRPUSDT,2,2025-12-12T16:00
XRPUSDT,0,2026-03-02T15:30
XRPUSDT,0,2026-03-04T09:00
XRPUSDT,2,2026-03-13T00:30
XRPUSDT,1,2026-03-30T19:15
XRPUSDT,1,2026-04-02T02:30
XRPUSDT,2,2026-04-15T15:00
XRPUSDT,1,2026-05-03T12:15
XRPUSDT,2,2026-05-13T13:30
XRPUSDT,1,2026-06-14T21:45
XRPUSDT,0,2026-06-25T13:30
XRPUSDT,2,2026-07-05T23:00
BNBUSDT,1,2020-12-14T15:15
BNBUSDT,0,2020-12-16T14:45
BNBUSDT,1,2020-12-27T16:00
BNBUSDT,0,2021-01-17T16:30
BNBUSDT,2,2021-01-25T00:30
BNBUSDT,0,2021-01-30T12:00
BNBUSDT,2,2021-02-01T05:30
BNBUSDT,0,2021-02-12T12:15
BNBUSDT,2,2021-03-24T20:15
BNBUSDT,1,2021-03-29T08:45
BNBUSDT,2,2021-05-21T14:45
BNBUSDT,2,2021-07-06T04:15
BNBUSDT,2,2021-07-23T23:15
BNBUSDT,2,2021-08-09T10:00
BNBUSDT,2,2021-11-05T03:00
BNBUSDT,0,2021-11-28T02:30
BNBUSDT,2,2021-12-23T17:45
BNBUSDT,1,2022-02-21T11:00
BNBUSDT,2,2022-02-28T15:30
BNBUSDT,1,2022-05-14T23:45
BNBUSDT,2,2022-07-05T20:15
BNBUSDT,1,2022-08-07T12:45
BNBUSDT,1,2022-08-10T13:30
BNBUSDT,0,2022-08-25T07:00
BNBUSDT,1,2022-10-16T19:45
BNBUSDT,2,2022-10-25T14:15
BNBUSDT,2,2022-10-28T13:30
BNBUSDT,2,2022-11-08T05:15
BNBUSDT,0,2022-11-20T11:30
BNBUSDT,0,2023-01-04T02:30
BNBUSDT,2,2023-02-03T12:30
BNBUSDT,1,2023-02-23T12:00
BNBUSDT,2,2023-03-09T18:45
BNBUSDT,2,2023-03-16T06:45
BNBUSDT,2,2023-04-15T09:45
BNBUSDT,1,2023-04-28T00:30
BNBUSDT,0,2023-05-08T01:30
BNBUSDT,0,2023-06-07T09:45
BNBUSDT,2,2023-07-06T14:15
BNBUSDT,2,2023-09-19T09:15
BNBUSDT,2,2023-10-01T22:30
BNBUSDT,1,2023-11-01T20:45
BNBUSDT,1,2024-02-14T07:00
BNBUSDT,0,2024-02-20T05:30
BNBUSDT,1,2024-02-21T09:00
BNBUSDT,0,2024-02-28T08:45
BNBUSDT,0,2024-03-15T23:45
BNBUSDT,2,2024-04-29T03:00
BNBUSDT,1,2024-08-17T10:00
BNBUSDT,2,2024-08-21T19:45
BNBUSDT,2,2024-09-11T17:30
BNBUSDT,2,2024-10-01T14:00
BNBUSDT,1,2024-10-14T04:15
BNBUSDT,0,2024-12-21T13:15
BNBUSDT,2,2025-01-19T08:45
BNBUSDT,1,2025-02-04T05:30
BNBUSDT,2,2025-02-11T00:30
BNBUSDT,1,2025-03-17T02:00
BNBUSDT,1,2025-04-21T00:45
BNBUSDT,2,2025-05-08T03:30
BNBUSDT,2,2025-05-18T20:00
BNBUSDT,1,2025-06-09T11:30
BNBUSDT,1,2025-06-18T10:45
BNBUSDT,0,2025-08-11T02:30
BNBUSDT,1,2025-10-01T09:00
BNBUSDT,2,2025-11-13T17:30
BNBUSDT,1,2025-12-09T16:15
BNBUSDT,1,2025-12-17T05:00
BNBUSDT,2,2026-02-03T18:15
BNBUSDT,1,2026-03-02T15:15
BNBUSDT,1,2026-04-27T06:15
BNBUSDT,0,2026-07-05T12:15
DOGEUSDT,0,2020-12-04T10:45
DOGEUSDT,1,2020-12-16T10:45
DOGEUSDT,2,2021-02-03T21:00
DOGEUSDT,0,2021-03-19T09:00
DOGEUSDT,0,2021-03-29T09:45
DOGEUSDT,1,2021-05-21T15:30
DOGEUSDT,0,2021-07-23T23:45
DOGEUSDT,2,2021-07-30T09:15
