symbol,S,pnl,win,exitType,hold,fastCycleLen,slowAge,confLag,pullLag,pullDepth,entryVsZone,volConfirm,volEntry,atrPct,zoneWidth,zoneAge,zoneMerged,slowStrength,moveFromFlip,emaSlope,hour,rangePct
BTCUSDT,-1,1.9,1,TP,11,1,671,0,0,-4.78,5.05,3.06,3.06,0.68,0.37,1,2,0.95,0,-1,17,1.44
BTCUSDT,-1,-0.481,0,TIMEOUT,75,2,329,0,1,0.16,1.14,0.5,1.37,0.31,0.42,71,2,0.66,-0.3,-1,15,0.37
BTCUSDT,1,1.9,1,TP,11,1,177,0,0,-3.2,3.38,1.23,1.23,0.23,0.11,99,0,0.41,0,1,14,0.25
BTCUSDT,1,-2.1,0,SL,3,3,748,0,2,-1.15,9.03,0.69,0.74,0.3,0.31,288,0,0.46,0.13,1,13,0.38
BTCUSDT,1,-1.196,0,TIMEOUT,49,4,368,0,3,-0.59,1.64,2.03,1.26,0.19,0.15,93,0,0.35,-0.17,1,23,0.28
BTCUSDT,1,1.9,1,TP,40,3,457,0,2,-0.6,1.26,1.05,3.16,0.26,0.09,28,0,0.32,-0.37,1,18,0.65
BTCUSDT,1,-0.188,0,TIMEOUT,215,1,174,0,0,-2.73,5.19,2.22,2.22,0.19,0.02,177,0,0.32,0,1,3,0.36
BTCUSDT,1,1.9,1,TP,251,1,432,0,0,-3.23,3.85,3.15,3.15,0.18,0.04,122,0,0.18,0,1,19,0.24
BTCUSDT,1,-1.21,0,TIMEOUT,113,3,291,0,2,-0.02,0.22,0.98,1.24,0.54,0.17,2,0,1.04,-0.73,1,18,1.16
BTCUSDT,1,-2.1,0,SL,111,3,223,0,2,-1.5,2.69,0.75,1.76,0.51,0.3,252,0,0.89,0.03,1,11,0.83
BTCUSDT,1,-1.604,0,TIMEOUT,105,1,159,0,0,-3.32,2.6,1.53,1.53,0.41,0.25,39,0,0.44,0,1,5,0.4
