symbol,S,tEntry,tExit,entry,exitPx,exitType,hold,pnlPct,pnlR,mfeR,maeR,mfeMaxPct,maeMaxPct,cycleAge,slowAge,slowLeft,cfLag,pullLag,entryVsZone,pullDepth,volConfirm,volEntry,atrPct,zoneAge,emaSlope,hour
DOGEUSDT,-1,2021-12-09 16:30,2021-12-09 17:00,0.17436,0.177847,SL,3,-2.14,-1.07,0.1,1.27,0.2,2.55,3,723,457,0,2,2.81,-0.3,0.9,0.87,0.96,118,-1,16
TRXUSDT,1,2021-12-10 13:15,2021-12-10 14:45,0.09149,0.08966,SL,7,-2.14,-1.07,0.96,1.16,1.92,2.32,3,303,281,0,2,0.67,-0.15,0.59,0.77,0.65,80,1,13
FILUSDT,-1,2021-12-12 11:15,2021-12-12 17:00,39.217,40.00134,SL,24,-2.14,-1.07,0.09,1.02,0.17,2.04,2,266,324,0,1,0.65,0.07,0.87,0.49,0.5,423,-1,11
XRPUSDT,1,2021-12-21 00:00,2021-12-21 01:15,0.8719,0.854462,SL,6,-2.14,-1.07,0.01,1.12,0.02,2.25,3,458,368,0,2,6.44,-0.34,2.32,1.42,0.99,361,1,0
ETHUSDT,1,2021-12-23 18:15,2021-12-24 23:00,4102.5,4020.45,SL,116,-2.14,-1.07,0.62,1,1.25,2.01,1,227,307,0,0,4.15,-5.02,3.11,3.11,0.54,233,1,18
SOLUSDT,1,2021-12-23 18:15,2021-12-24 03:30,191.56,187.7288,SL,38,-2.14,-1.07,0.51,1.01,1.02,2.03,1,139,389,0,0,7.27,-5,3.03,3.03,0.84,43,1,18
AVAXUSDT,1,2021-12-23 20:45,2021-12-24 01:00,122.335,119.8883,SL,18,-2.14,-1.07,0.19,1.06,0.37,2.12,2,242,104,0,1,2.64,-0.09,0.53,0.6,0.94,22,1,20
ADAUSDT,1,2021-12-25 22:30,2021-12-26 03:30,1.4418,1.412964,SL,21,-2.14,-1.07,0.85,1.06,1.7,2.12,2,361,213,0,1,3.97,0.26,1.16,0.45,0.52,94,1,22
DOTUSDT,1,2021-12-26 02:30,2021-12-26 03:30,28.992,28.41216,SL,5,-2.14,-1.07,0.29,1.03,0.59,2.06,4,374,197,0,3,15.89,0.24,0.84,1.92,0.78,643,1,2
DOTUSDT,-1,2021-12-31 04:00,2021-12-31 08:30,27.06,27.6012,SL,19,-2.14,-1.07,0.89,1.68,1.78,3.36,3,284,158,0,2,0.45,-0.07,1.49,1.25,1.02,113,-1,4
ETHUSDT,1,2022-01-04 11:30,2022-01-05 18:00,3831.09,3754.4682,SL,123,-2.14,-1.07,0.81,1.39,1.62,2.77,1,148,10,0,0,5.11,-3.05,1.93,1.93,0.41,252,1,11
LTCUSDT,1,2022-01-04 17:00,2022-01-04 18:30,150.33,147.3234,SL,7,-2.14,-1.07,0.19,1.16,0.37,2.32,3,188,101,0,2,0.75,-0.15,0.71,0.49,0.46,244,1,17
XRPUSDT,1,2022-01-14 07:45,2022-01-14 10:45,0.7809,0.765282,SL,13,-2.14,-1.07,0.04,1.25,0.09,2.51,3,214,280,0,2,3.32,-0.26,0.82,0.98,0.54,175,1,7
DOGEUSDT,-1,2022-01-20 21:45,2022-01-20 22:15,0.15565,0.158763,SL,3,-2.14,-1.07,0.8,1.08,1.59,2.17,1,406,471,0,0,5.14,-5.37,5.48,5.48,0.92,72,-1,21
