symbol,S,time,pnl,exitType,fastCycleLen,entryVsZone,pullDepth
DOGEUSDT,-1,1649799000,-2.1,SL,4,1.73,0.06
DOGEUSDT,-1,1651979700,1.9,TP,4,1.73,-0.08
DOGEUSDT,-1,1652879700,1.9,TP,1,2.57,-2.37
DOGEUSDT,1,1654083000,-2.1,SL,2,0.5,0.11
DOGEUSDT,-1,1656574200,1.9,TP,1,2.97,-2.37
DOGEUSDT,-1,1656843300,-2.1,SL,2,1.64,-0.1
DOGEUSDT,1,1657135800,1.9,TP,3,2.35,-0.21
DOGEUSDT,-1,1658711700,1.9,TP,1,5.65,-3.13
DOGEUSDT,1,1659897900,1.9,TP,4,7.36,-0.42
DOGEUSDT,1,1660630500,1.9,TP,1,2.54,-1.84
DOGEUSDT,-1,1661870700,1.9,TP,1,5.59,-3.75
DOGEUSDT,-1,1664298900,1.9,TP,1,1.11,-2.66
DOGEUSDT,-1,1665624600,1.9,TP,1,2.93,-2.15
DOGEUSDT,1,1666287000,-2.1,SL,2,3.65,-0.32
DOGEUSDT,1,1666403100,-0.588,TIMEOUT,2,2.06,-0.13
DOGEUSDT,1,1666674000,1.9,TP,2,2.51,-0.07
DOGEUSDT,-1,1668943800,1.9,TP,1,4.85,-3.71
DOGEUSDT,1,1669526100,1.9,TP,1,5.09,-3.48
DOGEUSDT,1,1669689000,1.9,TP,1,4.94,-3.49
DOGEUSDT,1,1669854600,-2.1,SL,3,1.03,0.39
DOGEUSDT,-1,1671049800,1.9,TP,1,1.85,-1.87
DOGEUSDT,-1,1671457500,1.9,TP,2,1.39,-0.45
DOGEUSDT,1,1672801200,1.9,TP,1,5.73,-3.47
DOGEUSDT,-1,1673186400,-1.174,TIMEOUT,3,1.87,0.13
DOGEUSDT,1,1673481600,1.9,TP,1,11.42,-1.99
DOGEUSDT,1,1674010800,-2.1,SL,1,4,-2.82
DOGEUSDT,1,1675475100,1.9,TP,4,1.97,-0.19
DOGEUSDT,-1,1675872900,1.9,TP,1,2.69,-3.36
DOGEUSDT,-1,1677496500,-2.1,SL,4,1.15,0.09
DOGEUSDT,-1,1677950100,1.9,TP,1,2.96,-0.62
DOGEUSDT,1,1680273000,1.9,TP,1,3.06,-2.02
DOGEUSDT,-1,1682006400,1.9,TP,1,4.42,-2.25
DOGEUSDT,1,1684281600,1.9,TP,2,2.38,-0.87
DOGEUSDT,1,1688358600,1.9,TP,3,2.64,-0.14
DOGEUSDT,1,1689405300,-2.1,SL,1,7.64,-5.74
DOGEUSDT,1,1690112700,-2.1,SL,4,2.83,0.26
DOGEUSDT,-1,1690984800,1.9,TP,1,4.22,-2.46
DOGEUSDT,-1,1692600300,1.9,TP,1,7.4,-1.97
DOGEUSDT,-1,1694017800,-0.907,TIMEOUT,4,2.47,-1.05
DOGEUSDT,-1,1694313900,1.9,TP,1,2.3,-0.49
DOGEUSDT,-1,1694586600,-1.235,TIMEOUT,3,1.38,0.11
DOGEUSDT,1,1695273300,-2.1,SL,4,0.77,-0.01
DOGEUSDT,1,1696200300,-1.659,TIMEOUT,1,5.35,-4.56
